;Post code;Sub-municipality name (Dutch)
613;3370.0;Vertrijk
614;1852.0;Beigem
615;6986.0;
616;3471.0;Hoeleden
617;3110.0;Rotselaar
618;9255.0;Buggenhout
619;9660.0;Nederbrakel
620;9551.0;Ressegem
621;4000.0;
622;4347.0;
623;4791.0;
624;4219.0;
625;4052.0;
626;4633.0;
627;6180.0;
628;7060.0;
629;6030.0;
630;6099.0;
631;6463.0;
632;7742.0;
633;6183.0;
634;5353.0;
635;3540.0;Herk-de-Stad
636;3668.0;Niel-bij-As
637;3890.0;Borlo
638;8902.0;Zillebeke
639;8958.0;Loker
640;8980.0;Zonnebeke
641;6851.0;
642;6929.0;
643;7390.0;
644;6220.0;
645;7133.0;
646;1212.0;Sint-Joost-ten-Node
647;1210.0;Sint-Joost-ten-Node
648;1083.0;Ganshoren
649;1190.0;Vorst
650;1357.0;
651;1367.0;
652;1428.0;
653;2540.0;Hove
654;2970.0;Schilde
655;2290.0;Vorselaar
656;9921.0;Vinderhoute
657;9931.0;Oostwinkel
658;4170.0;
659;4400.0;
660;4122.0;
661;4121.0;
662;4099.0;
663;4631.0;
664;4890.0;
665;4470.0;
666;7542.0;
667;7331.0;
668;7600.0;
669;6111.0;
670;6040.0;
671;7520.0;
672;1341.0;
673;1350.0;
674;2242.0;Pulderbos
675;2850.0;Boom
676;2491.0;Olmen
677;2480.0;Dessel
678;5310.0;
679;5670.0;
680;3792.0;Sint-Pieters-Voeren
681;8620.0;Ramskapelle
682;8951.0;Dranouter
683;6670.0;
684;6721.0;
685;6767.0;
686;1934.0;Diegem
687;3018.0;Wilsele
688;3201.0;Langdorp
689;3360.0;Bierbeek
690;3080.0;Tervuren
691;3380.0;Glabbeek-Zuurbemde
692;1651.0;Lot
693;3470.0;Kortenaken
694;9404.0;Aspelare
695;9840.0;Zevergem
696;9506.0;Grimminge
697;9160.0;Lokeren
698;9900.0;Eeklo
699;4287.0;
700;4620.0;
701;4217.0;
702;4420.0;
703;6150.0;
704;7610.0;
705;7522.0;
706;7370.0;
